fips,interval15min_num,name,state,interval15min,tot_exp_vote,total.votes,trumpd,bidenj,abs_trumpd,abs_bidenj,lag_total_votes,lag_bidenj,lag_trumpd,total_vote_chg,biden_chg,trump_chg,prop_expect_returned,dem_pct,dem2party_pct
1001,2042,AUTAUGA,ALABAMA,11/24/2020 13:11,27770,27770,19838,7503,0,0,27770,7503,19838,0,0,0,100,27.01836514,27.44230277
1003,2042,BALDWIN,ALABAMA,11/24/2020 13:11,109679,109679,83544,24578,0,0,109679,24578,83544,0,0,0,100,22.40902999,22.73172897
1005,2042,BARBOUR,ALABAMA,11/24/2020 13:11,10518,10518,5622,4816,0,0,10518,4816,5622,0,0,0,100,45.78817266,46.13910711
1007,2042,BIBB,ALABAMA,11/24/2020 13:11,9595,9595,7525,1986,352,215,9595,1986,7525,0,0,0,100,20.69828035,20.88108506
1009,2042,BLOUNT,ALABAMA,11/24/2020 13:11,27588,27588,24711,2640,0,0,27588,2640,24711,0,0,0,100,9.56937799,9.652297905
1011,2042,BULLOCK,ALABAMA,11/24/2020 13:11,4613,4613,1146,3446,0,0,4613,3446,1146,0,0,0,100,74.70192933,75.04355401
1013,2042,BUTLER,ALABAMA,11/24/2020 13:11,9488,9488,5458,3965,429,616,9488,3965,5458,0,0,0,100,41.78962901,42.07789451
1015,2042,CALHOUN,ALABAMA,11/24/2020 13:11,50983,50983,35101,15216,0,0,50983,15216,35101,0,0,0,100,29.84524253,30.24027665
1017,2042,CHAMBERS,ALABAMA,11/24/2020 13:11,15284,15284,8753,6365,0,0,15284,6365,8753,0,0,0,100,41.64485737,42.10212991
1019,2042,CHEROKEE,ALABAMA,11/24/2020 13:11,12301,12301,10583,1624,0,0,12301,1624,10583,0,0,0,100,13.20217868,13.30384206
1021,2042,CHILTON,ALABAMA,11/24/2020 13:11,19310,19310,16085,3073,0,0,19310,3073,16085,0,0,0,100,15.91403418,16.04029648
1023,2042,CHOCTAW,ALABAMA,11/24/2020 13:11,7464,7464,4296,3127,0,0,7464,3127,4296,0,0,0,100,41.89442658,42.12582514
1025,2042,CLARKE,ALABAMA,11/24/2020 13:11,13135,13135,7324,5755,0,0,13135,5755,7324,0,0,0,100,43.81423677,44.001835
1027,2042,CLAY,ALABAMA,11/24/2020 13:11,6930,6930,5601,1267,376,177,6930,1267,5601,0,0,0,100,18.28282828,18.4478742
1029,2042,CLEBURNE,ALABAMA,11/24/2020 13:11,7227,7227,6484,675,0,0,7227,675,6484,0,0,0,100,9.339975093,9.428691158
1031,2042,COFFEE,ALABAMA,11/24/2020 13:11,22275,22275,16899,5076,0,0,22275,5076,16899,0,0,0,100,22.78787879,23.09897611
1033,2042,COLBERT,ALABAMA,11/24/2020 13:11,27886,27886,19203,8343,614,875,27886,8343,19203,0,0,0,100,29.91823854,30.28751906
1035,2042,CONECUH,ALABAMA,11/24/2020 13:11,6441,6441,3442,2966,0,0,6441,2966,3442,0,0,0,100,46.04875019,46.28589263
1037,2042,COOSA,ALABAMA,11/24/2020 13:11,5479,5479,3631,1796,201,163,5479,1796,3631,0,0,0,100,32.77970433,33.09379031
1039,2042,COVINGTON,ALABAMA,11/24/2020 13:11,17430,17430,14586,2721,1011,496,17430,2721,14586,0,0,0,100,15.61101549,15.72196221
1041,2042,CRENSHAW,ALABAMA,11/24/2020 13:11,6617,6617,4864,1700,0,0,6617,1700,4864,0,0,0,100,25.69140094,25.89884217
1043,2042,CULLMAN,ALABAMA,11/24/2020 13:11,41851,41851,36880,4478,0,0,41851,4478,36880,0,0,0,100,10.6998638,10.82740945
1045,2042,DALE,ALABAMA,11/24/2020 13:11,19738,19738,14303,5170,0,0,19738,5170,14303,0,0,0,100,26.19313,26.54958147
1047,2042,DALLAS,ALABAMA,11/24/2020 13:11,17864,17864,5524,12230,0,0,17864,12230,5524,0,0,0,100,68.4617107,68.88588487
1049,2042,DEKALB,ALABAMA,11/24/2020 13:11,29356,29356,24767,4281,0,0,29356,4281,24767,0,0,0,100,14.58304946,14.73767557
1051,2042,ELMORE,ALABAMA,11/24/2020 13:11,41030,41030,30164,10367,0,0,41030,10367,30164,0,0,0,100,25.26687789,25.57795268
1053,2042,ESCAMBIA,ALABAMA,11/24/2020 13:11,15910,15910,10869,4918,0,0,15910,4918,10869,0,0,0,100,30.91137649,31.15221385
1055,2042,ETOWAH,ALABAMA,11/24/2020 13:11,47728,47728,35528,11567,0,0,47728,11567,35528,0,0,0,100,24.23524975,24.56099374
1057,2042,FAYETTE,ALABAMA,11/24/2020 13:11,8766,8766,7300,1395,285,190,8766,1395,7300,0,0,0,100,15.9137577,16.04370328
1059,2042,FRANKLIN,ALABAMA,11/24/2020 13:11,12578,12578,10376,2086,0,0,12578,2086,10376,0,0,0,100,16.58451264,16.73888621
1061,2042,GENEVA,ALABAMA,11/24/2020 13:11,12545,12545,10848,1595,0,0,12545,1595,10848,0,0,0,100,12.71422878,12.81845214
1063,2042,GREENE,ALABAMA,11/24/2020 13:11,4775,4775,875,3884,96,1465,4775,3884,875,0,0,0,100,81.34031414,81.61378441
1065,2042,HALE,ALABAMA,11/24/2020 13:11,7904,7900,3192,4663,172,1291,7900,4663,3192,0,0,0,99.94939271,59.02531646,59.36346276
1067,2042,HENRY,ALABAMA,11/24/2020 13:11,9298,9298,6607,2606,0,0,9298,2606,6607,0,0,0,100,28.0275328,28.28611744
1069,2042,HOUSTON,ALABAMA,11/24/2020 13:11,46173,46173,32618,12917,0,0,46173,12917,32618,0,0,0,100,27.97522362,28.36719007
1071,2042,JACKSON,ALABAMA,11/24/2020 13:11,23636,23636,19670,3717,0,0,23636,3717,19670,0,0,0,100,15.72601117,15.89344508
